query_table,query_value,candidate_table,candidate_value
sportfacility_left,busan asiad main stadium,sportfacility_right,busan asiad stadium
song_left,metal (gary numan song),song_right,metal (song)
motorsportseason_left,1996 imsa gt championship season,motorsportseason_right,1996 imsa gt championship
artwork_left,drunkenness of noah (bellini),artwork_right,drunkenness of noah
song_left,the shields garland,song_right,shields garland
ethnicgroup_left,somali american,ethnicgroup_right,somali americans
rugbyleague_left,arl schoolboy cup,rugbyleague_right,gio schoolboy cup
soccerclubseason_left,1997 australia national football team season,soccerclubseason_right,1997 australia national soccer team season
soccerleague_left,doncaster and district senior league,soccerleague_right,doncaster & district senior league
amphibian_left,rough frog,amphibian_right,rough frog
memberofparliament_left,william c. robinson (politician),memberofparliament_right,william cornforth robinson
shoppingmall_left,"the summit (wheatfield, new york)",shoppingmall_right,the summit (wheatfield)
governmentagency_left,electricity authority (nz),governmentagency_right,electricity authority (new zealand)
governmentagency_left,veterans affairs commission,governmentagency_right,veterans affairs council
soccertournament_left,2002 uefa european under-21 football championship,soccertournament_right,2002 uefa european under-21 championship
amphibian_left,shuicheng salamander,amphibian_right,shuicheng salamander
museum_left,telfair museum of art,museum_right,telfair museums
unitofwork_left,philip morris usa v. williams,unitofwork_right,philip morris usa inc. v. williams
reptile_left,abbott's crested lizard,reptile_right,abbott's crested lizard
motorsportseason_left,2005 world series by renault season,motorsportseason_right,2005 world series by renault
soccerleague_left,v.league (vietnam),soccerleague_right,v.league 1
stadium_left,"firstenergy stadium (reading, pennsylvania)",stadium_right,firstenergy stadium
motorsportseason_left,1999 american le mans series season,motorsportseason_right,1999 american le mans series
venue_left,showbox at the market,venue_right,the showbox
rugbyleague_left,rugby league charity shield (australia),rugbyleague_right,charity shield (nrl)
venue_left,orchestra hall (minneapolis),venue_right,"orchestra hall (minneapolis, minnesota)"
race_left,"air force cycling classic professional cycling race, arlington, va",race_right,air force association cycling classic
stadium_left,bb&t ballpark (charlotte),stadium_right,new knights stadium
ethnicgroup_left,korean new zealander,ethnicgroup_right,korean new zealanders
ethnicgroup_left,afro-turks,ethnicgroup_right,afro turks
monarch_left,muhammed v shirvanshah,monarch_right,muhammad iv of shirvan
device_left,motorola razr,device_right,motorola razr
legislature_left,chamber of deputies (italy),legislature_right,italian chamber of deputies
soccertournament_left,2011 atlantic sun conference men's soccer tournament,soccertournament_right,2011 atlantic sun men's soccer tournament
footballleagueseason_left,2005 j. league division 1,footballleagueseason_right,2005 j.league division 1
tennistournament_left,2000 tennis masters cup,tennistournament_right,2000 tennis masters cup and atp tour world championships
unitofwork_left,hills et al. v. ross ii,unitofwork_right,hills v. ross ii
shoppingmall_left,square 2 (shopping mall),shoppingmall_right,square 2 (shopping mall)
memberofparliament_left,richard howitt (politician),memberofparliament_right,richard howitt
hospital_left,carolinas medical center-northeast,hospital_right,carolinas healthcare system northeast
christianbishop_left,james hayes (bishop),christianbishop_right,james hayes (archbishop)
basketballteam_left,guerino vanoli basket,basketballteam_right,gruppo triboldi basket
case_left,federal communications commission v. at&t inc.,case_right,fcc v. at&t inc.
legislature_left,national assembly (seychelles),legislature_right,national assembly of seychelles
device_left,maynard carbine,device_right,maynard carbine
memberofparliament_left,david prior (politician),memberofparliament_right,david prior (uk politician)
footballleagueseason_left,jordan league 1956,footballleagueseason_right,1956 jordan league
amphibian_left,dayang newt,amphibian_right,dayang newt
reptile_left,rennell island monitor,reptile_right,rennell island monitor
christianbishop_left,george murray (bishop of rochester),christianbishop_right,george murray (bishop of rochester)
unitofwork_left,capitol square review and advisory board v. pinette,unitofwork_right,capitol square review & advisory board v. pinette
reptile_left,mclachlan's girdled lizard,reptile_right,mclachlan's girdled lizard
case_left,rowan v. u.s. post office dept.,case_right,rowan v. united states post office department
legislature_left,27th alberta legislative assembly,legislature_right,27th alberta legislature
soccerclubseason_left,2010 down senior football season,soccerclubseason_right,2010 down football season
device_left,springfield model 1871,device_right,springfield model 1871
election_left,"indian general election in tamil nadu, 1980",election_right,"indian general election, 1980 (tamil nadu)"
reptile_left,sicilian wall lizard,reptile_right,sicilian wall lizard
reptile_left,dwarf bronze gecko,reptile_right,dwarf bronze gecko
amphibian_left,two-toed amphiuma,amphibian_right,two-toed amphiuma
reptile_left,shield-tailed agama,reptile_right,shield-tailed agama
award_left,2003 grammy awards,award_right,45th grammy awards
amphibian_left,tukeit hill frog,amphibian_right,tukeit hill frog
soccerleague_left,kenyan provincial league,soccerleague_right,kenyan provincial leagues
naturalevent_left,2008 bandar abbas earthquake,naturalevent_right,2008 qeshm earthquake
motorsportseason_left,1997 imsa gt championship season,motorsportseason_right,1997 imsa gt championship
artwork_left,babe's dream (sculpture),artwork_right,babe's dream
soccerleague_left,naia national women's soccer championship,soccerleague_right,naia women's soccer championship
soccertournament_left,1966 ncaa division i men's soccer championship,soccertournament_right,1966 ncaa men's soccer championship
motorsportseason_left,2005 all-japan formula three season,motorsportseason_right,2005 all-japan formula three championship
givenname_left,rei,givenname_right,rei (given name)
motorsportseason_left,1952 nascar grand national season,motorsportseason_right,1952 in nascar
case_left,taylor v. state of mississippi,case_right,taylor v. mississippi
shoppingmall_left,mirdif city centre,shoppingmall_right,city centre mirdif
rugbyleague_left,irb sevens world series,rugbyleague_right,sevens world series
noble_left,muhammad nasir khan i,noble_right,nasir i of kalat
railwayline_left,line h (buenos aires metro),railwayline_right,line h (buenos aires underground)
footballleagueseason_left,2009 malaysia premier league,footballleagueseason_right,2009 premier league malaysia
naturalevent_left,2012 yangzhou earthquake,naturalevent_right,2012 yangzhou earthquake
song_left,i need you (the beatles song),song_right,i need you (beatles song)
christianbishop_left,john young (bishop),christianbishop_right,john young (bishop of rochester)
sportfacility_left,sun bowl stadium,sportfacility_right,sun bowl (stadium)
soccerleague_left,cayman islands league,soccerleague_right,cayman islands premier league
televisionstation_left,ksfv-ca,televisionstation_right,ksfv-cd
clericaladministrativeregion_left,syro-malabar catholic diocese of sagar,clericaladministrativeregion_right,syro-malabar catholic eparchy of sagar
song_left,turn on the news,song_right,turn on the news
reptile_left,great desert skink,reptile_right,great desert skink
artwork_left,the flight into egypt (annibale carracci),artwork_right,landscape with the flight into egypt
soccerleague_left,cheshire association football league,soccerleague_right,cheshire football league
museum_left,burlington art centre,museum_right,art gallery of burlington
election_left,"indian general election in gujarat, 2004",election_right,"indian general election, 2004 (gujarat)"
device_left,4.5 inch gun m1,device_right,4.5-inch gun m1
noble_left,"mir nizam ali khan, asaf jah ii",noble_right,ali khan asaf jah ii
motorsportseason_left,2002 all-japan formula three season,motorsportseason_right,2002 all-japan formula three championship
election_left,"ninawa governorate council election, 2005",election_right,"ninawa governorate election, 2005"
case_left,swift and company v. united states,case_right,swift & co. v. united states
shoppingmall_left,west 12 shepherds bush,shoppingmall_right,west 12 shepherd's bush
rugbyleague_left,pacific women's sevens championship,rugbyleague_right,oceania women's sevens championship
motorsportseason_left,1981 imsa gt championship season,motorsportseason_right,1981 imsa gt championship
memberofparliament_left,david thomson (politician born 1924),memberofparliament_right,david thomson (national party politician)
ethnicgroup_left,georgian american,ethnicgroup_right,georgian americans
clericaladministrativeregion_left,roman catholic vicariate apostolic of iles saint pierre and miquelon,clericaladministrativeregion_right,apostolic vicariate of iles saint pierre and miquelon
basketballteam_left,allianz swans gmunden,basketballteam_right,swans gmunden
railwayline_left,bangalore high-speed rail link,railwayline_right,bangalore high-speed rail link
amphibian_left,bernhard's mantella,amphibian_right,bernhard's mantella
governmentagency_left,financial services commission of mauritius,governmentagency_right,financial services commission (mauritius)
reptile_left,schreiber's fringe-fingered lizard,reptile_right,schreiber's fringe-fingered lizard
footballleagueseason_left,2000 j. league division 1,footballleagueseason_right,2000 j.league division 1
stadium_left,bladerunners ice complex,stadium_right,bladerunners ice complex
amphibian_left,hakuba salamander,amphibian_right,hakuba salamander
clericaladministrativeregion_left,diocese of eastern newfoundland and labrador,clericaladministrativeregion_right,anglican diocese of eastern newfoundland and labrador
reptile_left,pedra branca skink,reptile_right,pedra branca skink
ethnicgroup_left,barbadian people,ethnicgroup_right,barbadians
museum_left,"beneski museum of natural history, amherst college",museum_right,beneski museum of natural history
unitofwork_left,santa anna v. frank,unitofwork_right,town of santa anna v. frank
artwork_left,charity with four children (bernini),artwork_right,charity with four children
museum_left,war remnants museum,museum_right,war remnants museum (ho chi minh city)
hospital_left,milton keynes general hospital,hospital_right,milton keynes hospital
case_left,florida v. j. l.,case_right,florida v. j.l.
legislature_left,national assembly (nigeria),legislature_right,national assembly of nigeria
unitofwork_left,machinists v. street,unitofwork_right,international ass'n of machinists v. street
country_left,kerait,country_right,keraites
televisionstation_left,tvp katowice,televisionstation_right,tvp3 katowice
clericaladministrativeregion_left,roman catholic diocese of dodoma,clericaladministrativeregion_right,roman catholic archdiocese of dodoma
case_left,"california retail liquor dealers association v. midcal aluminum, inc.",case_right,"california retail liquor dealers ass'n v. midcal aluminum, inc."
magazine_left,wipers times,magazine_right,the wipers times
song_left,cheremshyna (song),song_right,cheremshyna
amphibian_left,karpathos frog,amphibian_right,karpathos frog
monarch_left,artabanus v (of parthia),monarch_right,artabanus iv of parthia
device_left,6 inch siege gun m1904,device_right,6-inch siege gun m1904
clericaladministrativeregion_left,roman catholic archdiocese of guatemala,clericaladministrativeregion_right,roman catholic archdiocese of santiago de guatemala
ethnicgroup_left,european australian,ethnicgroup_right,european australians
song_left,breaking news (song),song_right,breaking news (michael jackson song)
televisionstation_left,wvvq-lp,televisionstation_right,wujx-ld
reptile_left,barbados anole,reptile_right,barbados anole
case_left,baldwin v. fish and game commission of montana,case_right,baldwin v. fish & game commission of montana
televisionstation_left,kvnv,televisionstation_right,wjlp
noble_left,"francis anthony, count of hohenzollern-haigerloch",noble_right,"franz anton, count of hohenzollern-haigerloch"
footballmatch_left,2011 j. league cup final,footballmatch_right,2011 j.league cup final
legislature_left,national assembly (ivory coast),legislature_right,national assembly of cã´te d'ivoire
soccerleague_left,portuguese handball supercup,soccerleague_right,portuguese handball super cup
politicalparty_left,democratic labor party,politicalparty_right,democratic labour party (australia)
unitofwork_left,browning-ferris industries v. kelco disposal,unitofwork_right,"browning-ferris industries of vermont, inc. v. kelco disposal, inc."
historicbuilding_left,all hallows bread street,historicbuilding_right,"all hallows, bread street"
televisionstation_left,kbzo-ld,televisionstation_right,kbzo-lp
sportfacility_left,indoor stadium huamark,sportfacility_right,hua mark indoor stadium
case_left,university of pennsylvania v. eeoc,case_right,university of pennsylvania v. equal employment opportunity commission
governmentagency_left,ministry of industry and foreign trade (egypt),governmentagency_right,"ministry of industry, trade and small industries"
reptile_left,brown water snake,reptile_right,brown water snake
reptile_left,white-fronted water snake,reptile_right,white-fronted water snake
reptile_left,southern rock lizard,reptile_right,southern rock lizard
memberofparliament_left,pierre gauthier (canadian politician),memberofparliament_right,pierre gauthier (politician)
award_left,tricorder x prize,award_right,tricorder x prize
railwayline_left,taean line,railwayline_right,tae'an line
museum_left,national yiddish book center,museum_right,yiddish book center
shoppingmall_left,sahara mall (riyadh),shoppingmall_right,riyadh sahara mall
case_left,young v. american mini theatres,case_right,"young v. american mini theatres, inc."
shoppingmall_left,"the summit (reno, nevada)",shoppingmall_right,the summit (reno)
basketballteam_left,satria muda britama jakarta,basketballteam_right,satria muda pertamina jakarta
noble_left,william christopher of baden-baden,noble_right,margrave william christopher of baden-baden
unitofwork_left,frank lyon company v. united states,unitofwork_right,frank lyon co. v. united states
noble_left,"margaret talbot, countess of shrewsbury",noble_right,"margaret beauchamp, countess of shrewsbury"
basketballteam_left,pallacanestro treviso,basketballteam_right,universo treviso basket
monarch_left,parakramabahu i,monarch_right,parakramabahu i of polonnaruwa
legislature_left,senate (trinidad and tobago),legislature_right,senate of trinidad and tobago
soccerclubseason_left,2013 orlando city s.c. season,soccerclubseason_right,2013 orlando city sc season
soccerleague_left,albanian women's football championship,soccerleague_right,albanian women's national championship
monarch_left,fath-ali shah qajar,monarch_right,fatâ²h-ali shah qajar
politicalparty_left,atid (political party),politicalparty_right,atid (former political party)
reptile_left,iberian worm lizard,reptile_right,iberian worm lizard
motorsportseason_left,2012 international gt open season,motorsportseason_right,2012 international gt open
rugbyleague_left,irb junior world rugby trophy,rugbyleague_right,world rugby under 20 trophy
hospital_left,"st. margaret's hospital (sydney, australia)",hospital_right,st margaret's hospital
soccertournament_left,2012 south american under 17 women's championship,soccertournament_right,2012 south american under-17 women's football championship
sportsleague_left,kingdom caledonian football league,sportsleague_right,kingdom caledonian amateur football association
televisionstation_left,universal channel (uk and ireland),televisionstation_right,universal channel (uk)
soccerclubseason_left,2012 australia national football team season,soccerclubseason_right,2012 australia national soccer team season
country_left,kazikumukh shamkhalate,country_right,shamkhalate of kazi-kumukh
memberofparliament_left,muntaka mohammed mubarak,memberofparliament_right,mubarak mohammed muntaka
basketballteam_left,goyang orions,basketballteam_right,goyang orion orions
museum_left,the dallas contemporary,museum_right,dallas contemporary
artificialsatellite_left,uosat-1,artificialsatellite_right,uosat-1
amphibian_left,desert tree frog,amphibian_right,desert tree frog
device_left,qf 2.95 inch mountain gun,device_right,qf 2.95-inch mountain gun
election_left,"indian general election in andhra pradesh, 1989",election_right,"indian general election, 1989 (andhra pradesh)"
magazine_left,huntin' fool,magazine_right,huntin' fool magazine
award_left,wendy schmidt oil cleanup x challenge,award_right,wendy schmidt oil cleanup x challenge
motorsportseason_left,2013 asian le mans series season,motorsportseason_right,2013 asian le mans series
rugbyleague_left,all stars match,rugbyleague_right,all stars match
soccertournament_left,2012 j. league cup,soccertournament_right,2012 j.league cup
soccerleague_left,nsw state league division two,soccerleague_right,nsw state league
motorsportseason_left,2009 eurocup formula renault 2.0 season,motorsportseason_right,2009 eurocup formula renault 2.0
tournament_left,2009 uefa european under-17 football championship,tournament_right,2009 uefa european under-17 championship
tennistournament_left,2011 bell challenge,tennistournament_right,2011 challenge bell
clericaladministrativeregion_left,diocese of zululand,clericaladministrativeregion_right,anglican diocese of zululand
rugbyleague_left,2nd rugby-bundesliga,rugbyleague_right,2. rugby-bundesliga
motorsportseason_left,2008 nascar corona series season,motorsportseason_right,2008 nascar corona series
sportsleague_left,kazakhstani championship,sportsleague_right,kazakhstan hockey championship
legislature_left,national assembly (belize),legislature_right,national assembly of belize
artwork_left,lieutenant general george washington,artwork_right,lieutenant general george washington (statue)
song_left,1 life,song_right,1 life (xandee song)
motorsportseason_left,2009 fia alternative energies cup season,motorsportseason_right,2009 fia alternative energies cup
election_left,"catalonian parliamentary election, 2006",election_right,"catalan parliamentary election, 2006"
device_left,panter howitzer,device_right,panter howitzer
sportsleague_left,victorian premier league,sportsleague_right,national premier leagues victoria
governmentagency_left,ministry of energy (burma),governmentagency_right,ministry of energy (myanmar)
shoppingmall_left,square 2 (shopping mall),shoppingmall_right,square 2
memberofparliament_left,william killen,memberofparliament_right,william wilson killen
governmentagency_left,"ministry of agriculture, rural development and fisheries",governmentagency_right,"ministry of agriculture, sea, environment and spatial planning"
artwork_left,the painter's studio,artwork_right,the artist's studio
stadium_left,"jean-bouin stadium, angers",stadium_right,stade jean-bouin (angers)
noble_left,kong jia,noble_right,kong jia of xia
politicalparty_left,democratic party (poland),politicalparty_right,alliance of democrats (poland)
sportfacility_left,the sevens (stadium),sportfacility_right,the sevens stadium
sportsleague_left,naia national softball championship,sportsleague_right,naia softball championship
politicalparty_left,labour party (south africa),politicalparty_right,south african labour party
stadium_left,"christie park, morecambe",stadium_right,christie park (morecambe)
election_left,"iraqi kurdistan legislative election, 1992",election_right,"iraqi kurdistan parliamentary election, 1992"
award_left,national football foundation gold medal winners,award_right,national football foundation gold medal winners
award_left,logie award for most outstanding actor in a series,award_right,logie award for most outstanding actor
wrestler_left,wagner brown,wrestler_right,slyck wagner brown
givenname_left,joseph (given name),givenname_right,joseph (name)
sportsleague_left,championnat de france amateur 2,sportsleague_right,championnat de france amateur 2
memberofparliament_left,patrick alphonsus buckley,memberofparliament_right,patrick buckley (politician)
railwayline_left,cape cod and hyannis railroad,railwayline_right,cape cod & hyannis railroad
ethnicgroup_left,kalmyk american,ethnicgroup_right,kalmyk americans
song_left,close your eyes (1933 song),song_right,close your eyes (bernice petkere song)
artwork_left,frog baby fountain (ball state university),artwork_right,frog baby fountain
motorsportseason_left,2001 fia sportscar championship season,motorsportseason_right,2001 fia sportscar championship
amphibian_left,loveridge's frog,amphibian_right,loveridge's frog
tournament_left,2002 uefa european under-17 football championship,tournament_right,2002 uefa european under-17 championship
memberofparliament_left,jian yang,memberofparliament_right,jian yang (politician)
historicbuilding_left,roman catholic church of the good shepherd (beverly hills),historicbuilding_right,"church of the good shepherd (beverly hills, california)"
sportsleague_left,bosnia and herzegovina women's football championship,sportsleague_right,bosnian women's football championship
governmentagency_left,iceland geosurvey,governmentagency_right,iceland geosurvey
case_left,forest grove school district v. t. a.,case_right,forest grove school district v. t.a.
unitofwork_left,mobile life insurance company v. brame,unitofwork_right,mobile life insurance co. v. brame
legislature_left,national assembly (namibia),legislature_right,national assembly of namibia
noble_left,hugh of chalon (auxerre),noble_right,hugh of chalon (bishop of auxerre)
ethnicgroup_left,canadians of american origin,ethnicgroup_right,american canadian
motorsportseason_left,2011 fim motocross world championship season,motorsportseason_right,2011 fim motocross world championship
soccerleague_left,nsw super league,soccerleague_right,national premier leagues nsw 2
basketballteam_left,sporting b.c.,basketballteam_right,sporting bc
song_left,dreaming my dreams (the cranberries song),song_right,dreaming my dreams (cranberries song)
naturalevent_left,1995 gulf of aqaba earthquake,naturalevent_right,1995 egypt earthquake
governmentagency_left,"department of agriculture, fisheries and forestry (australia)",governmentagency_right,department of agriculture (australia)
governmentagency_left,puerto rico department of justice,governmentagency_right,department of justice (puerto rico)
unitofwork_left,santa clara county v. southern pacific railroad,unitofwork_right,santa clara county v. southern pacific railroad co.
governmentagency_left,california department of fish and wildlife,governmentagency_right,california department of fish and game
christianbishop_left,dom ambrose agius,christianbishop_right,ambrose agius
legislature_left,senate of the republic (italy),legislature_right,italian senate
sportsleague_left,all-japan university rugby championship,sportsleague_right,all japan university rugby championship
unitofwork_left,"ohio civil rights comm'n v. dayton christian schools, inc.",unitofwork_right,"ohio civil rights commission v. dayton christian schools, inc."
sportsleague_left,swedish super league (women's floorball),sportsleague_right,elitserien (ladies floorball)
soccerclubseason_left,negeri sembilan fa season 2013,soccerclubseason_right,2013 negeri sembilan fa season
christianbishop_left,john h. hobart,christianbishop_right,john henry hobart
railwayline_left,line b (buenos aires metro),railwayline_right,line b (buenos aires underground)
unitofwork_left,forest grove school district v. t. a.,unitofwork_right,forest grove school district v. t.a.
clericaladministrativeregion_left,syro-malabar catholic diocese of jagdalpur,clericaladministrativeregion_right,syro-malabar catholic eparchy of jagdalpur
unitofwork_left,red lion broadcasting co. v. federal communications commission,unitofwork_right,red lion broadcasting co. v. fcc
case_left,"pfizer, inc. v. government of india",case_right,pfizer inc. v. government of india
tournament_left,2012 ofc women's pre-olympic football tournament,tournament_right,2012 ofc women's olympic qualifying tournament
amphibian_left,quacking frog,amphibian_right,quacking frog
motorsportseason_left,2013 european touring car cup season,motorsportseason_right,2013 european touring car cup
televisionstation_left,star jalsha awards,televisionstation_right,star jalsha awards
award_left,2005 grammy awards,award_right,47th grammy awards
case_left,united states v. cleveland indians baseball company,case_right,united states v. cleveland indians baseball co.
ethnicgroup_left,manx australian,ethnicgroup_right,manx australians
wrestler_left,nobuo yoshihashi,wrestler_right,yoshi-hashi
monarch_left,pandara vannian,monarch_right,pandara vanniyan
unitofwork_left,williamson v. mazda,unitofwork_right,"williamson v. mazda motor of america, inc."
sportsleague_left,professional arena soccer league,sportsleague_right,major arena soccer league
hospital_left,paradise valley hospital,hospital_right,paradise valley hospital california
unitofwork_left,shuttlesworth v. birmingham,unitofwork_right,shuttlesworth v. city of birmingham
legislature_left,senate (liberia),legislature_right,senate of liberia
wrestler_left,"chavo guerrero, jr.",wrestler_right,chavo guerrero jr.
reptile_left,underwood's mussurana,reptile_right,underwood's mussurana
artwork_left,christopher columbus (sculpture by vittori),artwork_right,christopher columbus (vittori)
award_left,nu rock award,award_right,nu rock awards
politicalparty_left,party for european future,politicalparty_right,party for a european future
amphibian_left,alpine salamander,amphibian_right,alpine salamander
shoppingmall_left,megabox (shopping mall),shoppingmall_right,megabox (shopping mall)
reptile_left,terre-de-haut racer,reptile_right,terre-de-haut racer
venue_left,kazhimukan munaitpasov stadium (astana),venue_right,kazhymukan munaitpasov stadium (astana)
election_left,"minnesota secretary of state election, 2010",election_right,"minnesota secretary of state election, 2010"
unitofwork_left,united states v. international boxing club of new york,unitofwork_right,"united states v. international boxing club of new york, inc."
motorsportseason_left,2006 world touring car championship season,motorsportseason_right,2006 world touring car championship
amphibian_left,ornate burrowing frog,amphibian_right,ornate burrowing frog
wrestler_left,daniel garcia soto,wrestler_right,stefano (wrestler)
unitofwork_left,norton v. s. utah wilderness alliance,unitofwork_right,norton v. southern utah wilderness alliance
tennistournament_left,2009 bell challenge,tennistournament_right,2009 challenge bell
ethnicgroup_left,arab venezuelan,ethnicgroup_right,arab venezuelans
award_left,tvynovelas award for best lead actor,award_right,tvynovelas award for best actor
historicbuilding_left,"st. alexander nevsky cathedral, howell",historicbuilding_right,"st. alexander nevsky cathedral (howell, new jersey)"
motorsportseason_left,1964 united states road racing championship season,motorsportseason_right,1964 united states road racing championship
reptile_left,rainbow water snake,reptile_right,rainbow water snake
legislature_left,house of representatives (antigua and barbuda),legislature_right,house of representatives of antigua and barbuda
award_left,teennick halo awards,award_right,nickelodeon halo awards
governmentagency_left,national statistics office (georgia),governmentagency_right,national statistics office of georgia
amphibian_left,salmon-striped frog,amphibian_right,salmon-striped frog
case_left,prima paint corp. v. flood & conklin mfg. co.,case_right,prima paint corp. v. flood & conklin manufacturing co.
case_left,united states v. navajo nation,case_right,united states v. navajo nation (2009)
christianbishop_left,ignatius behnam of hadl,christianbishop_right,ignatius behnam hadliyo
amphibian_left,shasta salamander,amphibian_right,shasta salamander
unitofwork_left,beacon theatres v. westover,unitofwork_right,"beacon theatres, inc. v. westover"
governmentagency_left,california office of real estate appraisers,governmentagency_right,california bureau of real estate appraisers
legislature_left,federal council (austria),legislature_right,federal council of austria
governmentagency_left,ministry of the federal territories (malaysia),governmentagency_right,ministry of federal territories (malaysia)
song_left,une vie d'amour,song_right,une vie d'amour
monarch_left,parameswara (sultan),monarch_right,parameswara (king)
reptile_left,leschenault's leaf-toed gecko,reptile_right,leschenault's leaf-toed gecko
christianbishop_left,ceolmund (bishop of hereford),christianbishop_right,ceolmund (bishop of hereford)
country_left,united states protectorate over cuba,country_right,united states military government in cuba
basketballteam_left,trikala b.c.,basketballteam_right,a.s. trikala 2000 bc
country_left,chera dynasty,country_right,chera dynasty
unitofwork_left,southern r. co. v. united states,unitofwork_right,southern railway co. v. united states
motorsportseason_left,2010 ginetta junior championship,motorsportseason_right,2010 ginetta junior championship season
ethnicgroup_left,chilean canadian,ethnicgroup_right,chilean canadians
reptile_left,rim rock crown snake,reptile_right,rim rock crown snake
clericaladministrativeregion_left,syro-malabar catholic diocese of chanda,clericaladministrativeregion_right,syro-malabar catholic eparchy of chanda
stadium_left,byukje baseball stadium,stadium_right,byeokje baseball stadium
christianbishop_left,ignatius john xiv,christianbishop_right,ignatius john xiii
song_left,the lily of the valley,song_right,the lily of the valley
governmentagency_left,ministry of education and sciences (albania),governmentagency_right,ministry of education and sport (albania)
hospital_left,"st teresa's hospital, hong kong",hospital_right,st. teresa's hospital (hong kong)
basketballteam_left,al-ahly (benghazi) men's basketball team,basketballteam_right,al-ahli benghazi (basketball club)
naturalevent_left,1894 meiji tokyo earthquake,naturalevent_right,1894 tokyo earthquake
case_left,lorillard v. reilly,case_right,lorillard tobacco co. v. reilly
device_left,motorola rizr,device_right,motorola rizr
rugbyleague_left,north east rugby league,rugbyleague_right,rugby league conference north east division
rugbyleague_left,ron coote cup,rugbyleague_right,the ron coote cup
amphibian_left,corsican fire salamander,amphibian_right,corsican fire salamander
motorsportseason_left,1999 united states road racing championship season,motorsportseason_right,1999 united states road racing championship
basketballteam_left,al-ittihad alexandria,basketballteam_right,al ittihad alexandria (basketball)
naturalevent_left,june 2012 afghanistan earthquakes,naturalevent_right,2012 afghanistan earthquakes
ethnicgroup_left,baraba tatar,ethnicgroup_right,baraba tatars
case_left,national association for the advancement of colored people v. alabama,case_right,naacp v. alabama
shoppingmall_left,shops at prudential center,shoppingmall_right,the shops at prudential center
historicbuilding_left,cathedral of st. john the baptist (parma),historicbuilding_right,"cathedral of st. john the baptist (parma, ohio)"
motorsportseason_left,2011 blancpain endurance series season,motorsportseason_right,2011 blancpain endurance series
soccerclubseason_left,2005 australia national football team season,soccerclubseason_right,2005 australia national soccer team season
election_left,"liechtenstein parliamentary election, 2013",election_right,"liechtenstein general election, 2013"
stadium_left,"west end park (houston, texas)",stadium_right,west end park (houston)
case_left,heart of atlanta motel v. united states,case_right,"heart of atlanta motel, inc. v. united states"
device_left,thermos bomb,device_right,thermos bomb
amphibian_left,yellow mantella,amphibian_right,yellow mantella
clericaladministrativeregion_left,diocese of pretoria,clericaladministrativeregion_right,anglican diocese of pretoria
hospital_left,barbara ann karmanos cancer institute,hospital_right,karmanos cancer institute
venue_left,moore theatre,venue_right,"moore theatre (seattle, washington)"
ethnicgroup_left,naik maratha samaj,ethnicgroup_right,naik maratha
device_left,beretta m1935,device_right,beretta m 1935
device_left,reffye 75 mm cannon,device_right,reffye 75mm cannon
monarch_left,'izz al-dawla,monarch_right,izz al-dawla
sportsleague_left,philippine collegiate champions league,sportsleague_right,philippine collegiate championship
election_left,"indian general election in sikkim, 2009",election_right,"indian general election, 2009 (sikkim)"
noble_left,duke john william of saxe-altenburg,noble_right,duke johann wilhelm of saxe-altenburg
ethnicgroup_left,romanian migration to the united kingdom,ethnicgroup_right,romanians in the united kingdom
monarch_left,khalaf ibn ahmad,monarch_right,khalaf i
artificialsatellite_left,uosat-1,artificialsatellite_right,uosat-oscar 9
motorsportseason_left,1998 united states road racing championship season,motorsportseason_right,1998 united states road racing championship
unitofwork_left,united states v. south-eastern underwriters association,unitofwork_right,united states v. south-eastern underwriters ass'n
politicalparty_left,progressive valdotanian union (2013),politicalparty_right,progressive valdostan union (2013)
ethnicgroup_left,non-resident indian and person of indian origin,ethnicgroup_right,non-resident indian and person of indian origin
reptile_left,oaxacan coral snake,reptile_right,oaxacan coral snake
reptile_left,giant ameiva,reptile_right,giant ameiva
railwayline_left,armadale railway line,railwayline_right,armadale/thornlie railway line
christianbishop_left,norberto do amaral,christianbishop_right,norberto do amaral
amphibian_left,long-snout torrent frog,amphibian_right,long-snout torrent frog
country_left,kenya colony,country_right,british kenya
noble_left,countess louise henriette of nassau,noble_right,countess luise henriette of nassau
governmentagency_left,ministry of foreign affairs (republic of china),governmentagency_right,ministry of foreign affairs (taiwan)
historicbuilding_left,"st. james church, louth",historicbuilding_right,"st james' church, louth"
christianbishop_left,kevin vann,christianbishop_right,kevin william vann
ethnicgroup_left,bosnian american,ethnicgroup_right,bosnian americans
rugbyleague_left,south premier (rugby league),rugbyleague_right,rugby league conference south premier
sportsleague_left,wiv provo premier league,sportsleague_right,mfl league
railwayline_left,monte generoso railway,railwayline_right,monte generoso railway
amphibian_left,salado springs salamander,amphibian_right,salado springs salamander
case_left,scull v. virginia ex rel. comm. on law reform and racial activities,case_right,scull v. virginia ex rel. committee on law reform & racial activities
hospital_left,madras medical mission,hospital_right,the madras medical mission
unitofwork_left,united states v. peters,unitofwork_right,"united states v. richard peters, district judge"
country_left,xin dynasty,country_right,xin dynasty
magazine_left,house and home (magazine),magazine_right,house and home
reptile_left,italian aesculapian snake,reptile_right,italian aesculapian snake
museum_left,museo di capodimonte,museum_right,national museum of capodimonte
politicalparty_left,"people's party (serbia, 2008)",politicalparty_right,national party (serbia)
