actorid,movieid,role
1526,226832,Tonino
1526,243667,Horst Fantazzini
1526,245802,Matteo
1526,255112,Gigi
1526,257026,Marco
1526,261579,
1526,270691,Ivan 'Freccia' Benassi
1526,281108,Scialoia
1526,287762,Andrea
1526,313179,The Patient
1526,344589,Carlo
1526,348198,Avv. Raffaele Della Valle
1526,352819,
1526,353142,Dino Campana
1526,356168,
1526,384666,
1527,63890,
1528,252884,Ballplayer
1529,93749,Steve (patrolman)
1530,264471,Italian truck driver
1531,55208,Moralès
1532,11464,Willem
1532,78317,Danny Boy Bailey
1532,108439,Thomas
1532,157722,
1532,157892,Erik van Leeuwen
1532,160760,Smartass
1532,187632,Franco
1532,215767,Jef
1532,215813,Bird
1532,277759,Medeleerling
1532,378614,Harrie Harings
1532,379739,Willem (1999-2000)
1532,386491,Himself (1995-2000)
1532,392731,
1532,393604,Montecore the falcon
1532,407815,Himself (Single) (2001)
1533,95100,Mr. Ace
1533,387251,Himself
1534,120716,
1536,342566,Rocking Sikh
1537,242083,Student Rapper
1539,348651,Himself (Chelsea)
1540,396738,Himself
1541,378355,
1542,165789,
1542,166544,
1542,307297,
1542,309086,
1543,251631,
1544,157410,Locutor
1545,60082,
1546,146567,Militar base 2
1547,186021,Policeman #1
1548,84410,
1549,133306,
1549,396649,
1550,188929,Comedian
1551,53651,
1551,197976,Newspaper Director
1551,206322,Guardia II
1551,352163,
1552,29006,
1552,259847,
1553,233081,
1554,335169,Himself
1555,7285,Fred Vernon
1555,39992,
1555,86061,
1555,128018,
1555,336970,Saverio Stoppani
1556,265194,
1556,289349,
1557,140421,
1558,190805,Man in Sweden #1
1559,56988,
1560,157316,Junkie in Apartment
1561,54324,Adjutant
1562,131128,Calero
1562,401258,Usnavy
1562,412153,Aurelio 'Gaviota' Restrepo
1563,15333,
1563,25034,
1563,53839,
1563,54321,
1563,56465,
1563,63951,
1563,85583,
1563,92943,
1563,129526,
1563,189024,
1563,193340,Don Carlos
1563,193505,
1563,198848,
1563,215400,Padre Mauricio
1563,221895,
1563,252612,
1563,294712,
1563,337870,
1564,339147,
1565,55208,Escamillo
1566,58144,Chico Diablo
1566,396417,
1567,47588,Cop
1568,20571,Augostino
1569,292765,Nereo
1570,53058,Carlos
1571,34245,Himself (interviewee)
1572,317956,Lenny Mapelton
1574,299691,Street Thug
1575,10340,Ochus
1575,135276,
1575,146568,Niño
1575,222841,"Diego, de niño"
1575,285241,
1576,100422,Charro 6
1577,16907,
1577,135352,Juanito
1578,4926,
1578,12031,
1578,63322,
1578,221937,Don Antonio
1578,243709,
1578,249427,
1578,273012,
1578,275073,
1579,126186,
1580,378353,
1581,10223,
1582,236406,Vendedor de diario
1583,33081,Papo
1584,363393,Hippie
1585,2837,Santo
1585,20727,Caller
1585,27928,Ramundo
1585,42983,Broker
1585,86982,Duncan
1585,158481,Kurt
1585,177891,Kirk
1585,201624,Himself
1585,319254,
1585,330388,Pvt. Tella
1585,355431,Parolee
1585,366998,
1585,381211,SSgt. Joseph Toye
1585,400621,Miguel Alvarez
1586,357302,
1587,351494,
1588,292776,Det. Suarez
1589,301063,Mikey
1590,88983,
1590,252554,
1590,348934,
1591,401912,Raymond
1592,105587,El Profesor
1593,76384,Little Boy at Funeral
1593,139211,Little Elvis
1593,358292,Kid #2
1594,278217,Nerd #2
1594,304294,Policeman
1595,99827,Cuban Refugee
1595,359529,Chief Tenochti
1596,215831,Stage Guy #1
1597,380085,
1597,384781,
1597,387101,
1597,397011,
1597,400942,
1598,89760,Himself
1598,205906,Himself
1599,4929,Ricardo
1599,13138,
1599,14756,
1599,23465,Scientist-Cameo at Society Me
1599,48181,
1599,52973,
1599,55926,
1599,63880,
1599,90521,
1599,114758,"López, Gual's aide"
1599,162918,
1599,169748,
1599,171375,
1599,193021,
1599,198850,Condenado a muerte
1599,202204,Dr. Krupp
1599,202514,
1599,213366,
1599,214820,
1599,217585,Dr. Krupp
1599,217586,Dr. Krup
1599,219505,Alberto
1599,221929,
1599,228902,Parricide
1599,229431,
1599,243468,
1599,246392,
1599,251552,
1599,257013,
1599,261252,Roque Torres
1599,265165,
1599,266808,Ramiro González
1599,272998,
1599,273661,Don Acacio
1599,275946,
1599,278426,Martín
1599,286421,Thief
1599,286920,Emperador Iroyoshi Taikosama
1599,287847,Refugio Canales
1599,294335,
1599,302309,Priest
1599,307785,
1599,317798,Silvestre
1600,3458,
1600,14787,
1600,19381,
1600,21697,
1600,27987,Miguel Ugalde
1600,48784,
1600,52811,
1600,52946,
1600,53641,
1600,55092,
1600,63810,
1600,64034,
1600,74628,
1600,80269,
1600,90535,
1600,91345,
1600,91415,
1600,99338,
1600,108554,
1600,111320,
1600,123178,
1600,140577,
1600,146479,
1600,190982,
1600,206747,
1600,209038,
1600,211166,
1600,212461,
1600,225699,
1600,225704,
1600,235297,
1600,247173,
1600,260559,
1600,269236,
1600,271988,
1600,277364,
1600,280429,
1600,284942,
1600,300754,
1600,339103,
1600,343731,
1600,349933,
1600,355777,
1600,355795,
1600,376705,
1600,376754,
1600,376787,
1600,377621,
1601,52076,
1602,219030,Country Joe & The Fish
1603,25514,
1604,398473,Alán
1604,409908,Chato
1604,410477,Octavio Vázquez Solís
1605,364752,Pool Cleaner
1606,404157,The Wolfman (1999-2000)
1607,237899,Niño
1608,64117,Musician
1609,16627,Driver
1609,303611,Steve Anders
1610,100097,Guest #1
1611,249398,"Richard, le régisseur"
1612,240058,
1612,246327,
1612,370737,
1613,322854,
1614,379834,Javier
1614,386787,Juvenal
1614,398801,Alex
1614,407529,
1615,285287,Wrenwood instructor
1616,257459,Flash
1617,15096,Himself
1617,33619,Himself
1617,95423,Himself/En personne
1617,101789,
1617,125732,Himself
1617,131715,
1617,391625,Himself
1618,10205,Le barman
1618,16950,Jean-Luc Tarain
1618,22688,Anorexix
1618,36672,
1618,45619,Le moine
1618,54393,Monsieur de Kermadec
1618,60274,Mime
1618,71813,Edouard
1618,87660,Customer
1618,102006,L'employé de l'hôtel
1618,105550,Docteur Bloch
1618,106286,Le brocanteur
1618,120403,Claude
1618,130756,Le garçon #1
1618,157064,Checker
1618,171416,
1618,198348,Publiciste
1618,200950,Joseph Heurtin
1618,256999,Capra
1618,264222,
1618,266149,
1618,269503,Monsieur Lussan
1618,280561,Un assistant de Wellson
1618,291058,L'homme couché
1618,309561,Le bagnard #2
1618,326030,La fine gueule
1618,337734,
1618,343331,The concierge
1618,345118,Le petit connard
1618,346557,Le serveur
1618,346772,
1618,353660,
1618,356466,Grognard
1618,377630,Dino
1618,379805,Prêtre
1618,387612,Léveillé
1698,79133,
1699,409058,Bebeco
1700,163655,Themselves
1700,374419,Russian Soldier
1701,231771,Teenager
1702,218738,Krutchfield
1702,289667,Exorcist Party Goer
1703,228217,"Tobias the Sea"" Wolf"""
1704,5644,
1704,38765,Erik
1704,45985,
1704,76784,Dr. Schleich
1704,225115,Young Man
1704,259444,Sportler
1704,410774,Stefan
1705,41559,Augustus Jolyon
1705,57376,
1705,59761,Don Marsden
1705,86571,
1705,106838,
1705,106921,
1705,143254,Glen Masters
1705,203698,Herbert Loring
1705,223946,Undetermined Role
1705,321793,Walter Fairponts
1705,337612,Edward Clive
1705,350504,Max
1706,320102,Mike
1707,139964,Tom Leighton
1708,231771,Kyle
1709,176942,Car Buyer
1710,231771,David
1711,294781,Street busker
1722,14171,Himself
1722,23444,Himself
1722,23447,Dracula
1722,23448,Man on Phone #1
1722,35524,Bar Patron
1722,37498,Himself
1722,37686,Man With Insect Repellent
1722,45853,Forry
1722,58102,Sylvia's father
1722,75558,Mr. Richardson
1722,87020,
1722,87025,Acker-Man on the street
1722,91943,Museum Caretaker
1722,92685,Dr. Beaumont
1722,93779,Himself
1722,102232,Voice on tape recorder
1722,105424,Pool Man
1722,108585,Himself
1722,109222,Audience Extra at Finley Rall
1722,116249,Himself
1722,122210,Park victim
1722,139187,Dr. Ed Newton
1722,141534,Himself
1722,144411,Sgt. Ack-Ack
1722,146653,Guest
1722,147637,Himself
1722,147651,Party Guest
1722,147688,Himself
1722,147710,Himself
1722,147820,Himself
1722,148552,Himself - Forrest J. Ackerman
1722,149712,Himself/Recipient
1722,151788,Bookstore Customer
1722,160000,Stolen Car Man
1722,175198,Himself
1722,175621,Jurist
1722,186021,Corpse #1
1722,188566,Himself/Storyteller
1722,193567,Himself
1722,201784,
1722,221118,Himself
1722,224087,Himself
1722,224123,The Master
1722,224149,
1722,235226,Himself
1722,236381,Judge Rhinehole
1722,262118,
1722,269317,Farraday's Aide
1722,276780,Harvey Kramer (Special Zombie
1722,278518,Himself
1722,289375,Prof. Trentwood
1722,290162,Man in cinema
1722,290163,Himself
1722,299460,Himself
1722,304022,
1722,329452,Edward Van Groan
1722,331779,Zombie in Final Frame
1722,333370,Square-frame technician
1722,338199,Funeral Director
1722,347201,Himself
1722,350191,Forry
1722,350231,Club Patron
1722,367083,Mustached Man at Garage Sale
1722,396155,Himself/Host/Narrator
1723,203572,"Nostradamus, as a youth"
1724,45698,Ryan
1725,54340,Adam Heyer
1725,161535,Britten
1725,176967,Musical director
1725,187977,Little Augie
1725,296912,"Jack, Director of Dance Studi"
1726,359403,Joshua
1727,94616,The Vandals
1727,267252,Themselves
1727,317946,The Vandals - Guitar
1728,143824,Bag Man
1729,13825,Toby
1729,105492,Student
1729,216602,Himself
1729,246756,Allen Kuperburg
1729,251477,Wounded sailor #1
1729,305517,Basketball Player #2
1729,387509,Joshua Q. Anderson (1993-94)
1729,397991,Himself (Season 1-7)
1729,402853,Wiseman
1730,134568,Shep DeBone
1731,32657,Street Boy
1732,408285,Sam
1733,7999,Newman's Son
1734,241515,
1735,22665,Ben Waltz
1735,127491,Darryl
1735,155213,Dodo/Freaky Mammal
1736,158313,Boy in crowd
1736,249557,Young Henry Primo
1737,7952,Mr. Thompson
1737,41393,Jim
1737,80606,Mechanic
1737,80802,
1737,99089,
1737,163588,Good Will Man
1737,299663,Waiter
1737,313601,Companion
1738,81153,Lt. Clay Forrester
1739,38006,
1740,13637,Hotel Clerk
1740,28876,Dr. Al Mellish
1740,313583,Reporter at Screening
1740,323475,The Photographer
1741,7602,Desert Rat
1741,26801,Clerk
1741,46760,Solomon Murphy
1741,203315,Second Deputy
1741,213307,Demetrius
1741,283089,Cook
1742,307237,Himself
1743,193176,Auto Mechanic
1744,167563,Sparring Partner
1745,210625,Himself
1746,270896,Pin's baby
1747,77303,Etagenkellner im Hotel
1747,94168,
1747,125127,
1747,156736,Voice of Warden Wolf
1747,173707,Verteidiger Gildas
1747,179779,Voice of Jonathan Taylor
1747,188753,Voice of Oberst Munroe
1747,204466,
1747,209918,Colonel
1747,219012,Voice of Bruce
1747,225647,Voice of Mr. Dyer
1747,254667,
1747,285381,Robert Färber
1747,301286,Count Cesare Bernini
1747,326050,Voice of Peter Cornelius
1747,343506,Voice of Lohmann's Brother
1747,352764,Herr Maximilian
1747,366263,Narrator
1747,366264,Narrator
1747,366265,Gouverneur
1747,373343,Marquis von Roqueville
1747,375169,
1748,194030,
1749,164598,
1749,180721,Stadtrat
1749,194572,
1749,194573,Falschparker
1749,210039,
1749,225286,
1749,290453,
1749,374549,
1749,381710,Speckrolle
1749,387735,"Dr. Müller-Hellwege (1989, 19"
1749,389359,"Herr Manz (1992, 1993)"
1749,395987,Various Roles (episodes 5 & 6
1749,402374,Tram driver
1749,404435,
1749,406321,
1750,197838,Ponton
1751,156684,Tourist
1752,98420,
1753,308206,
1754,376182,Wirt
1755,4794,
1755,36604,
1755,103106,
1755,358045,
1756,319803,Voix du bébé
1757,46624,
1758,70399,Nino
1758,101943,Caretaker
1758,135161,Ali
1758,142718,Jerry Rubin
1758,206937,Ali Armin
1758,318110,Shamin
1758,367581,Bijan
1758,385297,Jamal Al Jabali
1759,363708,Cashier
1760,208830,Homme de main 1
1761,182531,Petter
1762,411759,Randi (1981)
1763,5392,
1763,7164,The Prussian
1763,17070,
1763,19138,Hippie Leader/Mr. Topps
1763,22728,Straffen
1763,29358,
1763,30349,Edward Moulton-Barrett
1763,32723,Harold Bannon
1763,37786,Chuck De Nomolos
1763,40036,Chief Supt. Wray
1763,46862,Smithson
1763,64744,Bondarchuk
1763,66658,C'
1763,72971,Carter
1763,76254,Hans
1763,76945,Gerald Carmody
1763,78045,Chief Insp. Yardbird
1763,79867,
1763,80855,Captain
1763,81188,
1763,86470,Randolph Cauffield
1763,86819,Uomo di Potere
1763,101382,Haller
1763,107800,
1763,113933,Lord Clare
1763,114051,Alan Holly
1763,116353,
1763,126679,
1763,127193,"Ron, 2nd Fisherman"
1763,127896,
1763,127928,Father Glaise
1763,133592,Joe Gargery
1763,133995,
1763,138688,Dr. Frederick
1763,142929,Henry VII
1763,144595,German factory manager
1763,146870,Gen. Burgdorf
1763,151117,Mr. Quarre
1763,257096,
1763,264135,
1763,269419,Sir Burton Rumsey
1763,272536,The Bishop
1763,281400,Herr Scavenius
1763,282313,Insp. Vanderveld
1763,282630,Sapten
1763,284504,Martinson
1763,285717,Yardley
1763,292461,Gen. Gerhard Hellstein
1763,294027,Quince
1763,295298,Station policeman
1763,296880,Kinderman
1763,296899,C.S. Lewis
1763,298320,Col. Johnston
1763,300840,Don Masino Croce
1763,301923,Henry Foreman
1763,303460,
1763,303461,
1763,315741,Narrator
1763,316057,President
1763,321421,Mr. Swaffer
1763,330154,Lewis Serrocold
1763,331526,D'Artagnan's Father
1763,331611,
1763,334215,Colonel
1763,334343,King Francis
1763,335331,
1763,337477,Menenius
1763,338655,Gaetano Leporino
1763,354550,Edgar Lewis
1763,356335,Archie
1763,360094,Black Rabbit
1763,363206,Henry Ormonroyd
1763,363932,Sir Jock Delves Broughton
1763,364190,Cantrell
1763,364859,
1763,372263,
1763,374291,Van Hoyten
1763,380719,Quotations
1763,380724,Cumming
1763,381123,Himself - Interviewee
1763,381587,Mr. Twentyman
1763,383361,
1763,385205,Charles Bronte
1763,385780,Mr. Peggotty
1763,388671,
1763,391259,Max van der Vuurst
1763,392785,Editor of English Language Ne
1763,394456,Sir Max Sillman
1763,396698,Goering
1763,402657,Samuel Kent
1763,402678,Theo Carter
1763,405271,"Stephen Courtney-Briggs, surg"
1763,405511,Harry Mellor
1763,407894,Noah
1763,408007,Joseph Lockwood
1763,408299,Jerry Westerby
1763,411354,Aristoteles Onassis
1763,411895,Det. Insp. Todd (1967-1968)
1764,391869,Steven Ross (2003)
1764,393471,Jack Thomas
1764,400583,Vince
1764,401523,Mars
1765,9883,Travis' man
1766,10632,Winker's Assistant
1766,56172,Tommy Read
1766,303992,
1767,2136,Doyle
1767,346405,Himself
1768,58666,Gene Thomas
1768,109622,TV Host
1768,135586,Larry Jones
1768,144347,Newscaster
1768,278268,Policeman
1768,282919,Press
1768,294980,Man in elevator
1768,314273,FBI Agent
1768,366959,Journalist
1769,41152,
1769,223846,Tuck Worden
1769,276724,Peanuts
1769,283890,Tuck Worden
1769,283893,Tuck Worden
1769,283894,Tuck Worden
1769,308376,Tuck Worden
1770,113900,Clark
1771,85191,Jake
1771,382254,Eddie G
1771,385710,Alec/X5-494 (2001-2002)
1771,385824,Eric Roman Brady #6 (1997-200
1771,398405,Malcolm
1771,406554,Max Morgan
1772,42845,Terre Haute Terror
1772,81316,
1772,189153,Bit part
1773,193123,Scorpion
1774,27117,
1775,334148,Bellboy
1776,78980,Michael
1777,101278,Andy
1777,139208,Earl Horton
1777,143900,Starter
1777,192048,
1777,234581,
1777,246000,Deputy
1777,301292,Speed
1777,354178,O'Rourke
1777,357069,Dominic
1778,134274,Mountie
1778,245122,Teacher
1779,137221,L'Américain
1780,171930,Const. Pritchard
1780,199142,
1780,273800,Joe Kelly
1780,365779,Taxi Driver
1780,390345,Himself - Team Captain (1996)
1780,396442,Dragon (Voice)
1780,403279,Quadro
1780,405679,Himself (1999)
1780,409028,Various roles
1781,8096,William Kuntsler
1781,16058,Jay Fuller
1781,46415,Dr. Berringer
1781,61819,Peter Roberts
1781,66394,Bruce Neumann
1781,80557,Dexter Davenport
1781,80791,John Ferrar
1781,105864,Nicholas Conrad
1781,110266,Brandon Cole
1781,142370,Stanley
1781,146672,Narrator
1781,146676,Narrator
1781,146691,Narrator
1781,154108,Switzer
1781,196281,Tom Kerry
1781,210620,1st Assistant Director
1781,210782,
1781,220330,Medicine Wolf
1781,224536,Narrator
1781,233987,Dr. Singer
1781,255233,Dr. Eric Harding
1781,260229,Graham Mattison
1781,264424,Father Mathew
1781,272867,Bill Gilley
1781,304341,Col. Charlie King
1781,305760,Video Director
1781,309633,Peter Marriott
1781,313635,Kenneth Clayton
1781,315285,Agent Conroy
1781,323845,Reginald Broderick
1781,335065,"Gabe, guest"
1781,363250,Joe Waterson
1781,366039,Dr. Ashley
1781,368864,Robert Owen
1781,379392,Dr. Boyer (1984)
1781,380391,Dr. David 'Dave' Gilchrist (1
1781,385594,"Garrison Arthur Gary"" Ewing """
1781,385718,Nick Constantine
1781,395756,Prof. Freidrich Bhaer
1781,399838,Jones
1781,401075,Dr. Bart Langley
1781,402954,Additional Voices/Ezekiel Rag
1781,403814,Sen. Reed
1781,404694,Kevin Kincaid #2 (1971-1974)
1781,406776,J.J. McMillan
1781,411166,John/Prince Corran of Dar-Sha
1781,411363,Dr. Mike Rayburn
1781,411400,Tom Carey
1781,411668,
1782,27098,A millionaire
1782,35207,Alfie 'Little Alf'
1782,37280,
1782,47982,
1782,67051,Laundry worker
1782,70320,Jack
1782,74050,Wiggins
1782,77776,Shorty
1782,79686,Mechanic
1782,83846,Henery
1782,90403,
1782,120829,English Eddie
1782,131387,Crooked Santa
1782,141453,A Child of Destiny
1782,144825,The Property Man
1782,162930,Hank
1782,162942,Harry
1782,191220,Smith (Jeff's valet)
1782,211607,Another hunter
1782,220033,Attorney McFumble
1782,229110,
1782,261499,Sleeping customer
1782,283635,
1782,299883,Customer
1782,305038,Small Man with Large Woman
1782,305624,
1782,305644,
1782,307116,Henchman
1782,341000,Flunky
1782,364436,Clerk
1782,364806,
1782,374272,
1783,35155,Del
1783,60075,Mr. Sawchuck
1783,61737,Seth Anders
1783,61774,Farmer Tully
1783,134274,Fireman (Mission)
1783,139674,Ely Porter
1783,144787,Officer 'Randy'
1783,161835,OIC JFO officer
1783,169427,Grocery Clerk
1783,176819,Drunk
1783,183639,Sgt. Taylor
1783,283522,High School Coach
1783,298279,Verlin Sawchuk
1783,360524,Guard
1783,365403,Orville
1784,193577,Presenter
1785,49389,Security Guard 2
1785,73855,Charendon
1785,166569,
1785,194833,Charles
1785,282689,Gentleman
1786,98277,Zonker
1786,325916,
1787,301681,Officer Jackson
1788,328265,Guard #2
1790,47844,Rudi
1790,91172,2.Polizist
1790,119182,Journalist
1790,156995,
1790,284127,Seppel
1790,325848,
1790,346957,Georg 'Gori' Rauchenberger
1790,347616,Hotte
1790,367236,Martin
1790,379884,Stefan Ried
1790,384817,Benedetto
1790,389119,Fred Niemeyer (# 2) (1994-)
1790,403925,Ropfer
1791,80855,Paul
1792,9920,
1792,17321,
1792,29102,Breslau
1792,29610,Von Gretzbach
1792,65390,Gen. Olbricht
1792,77383,Bodo van Dooren
1792,90128,"Don Balthazar Lopez, Ehemann"
1792,107109,Voice of Sir Nayland Smith
1792,115201,Dr. Falke
1792,129720,Sekretär bei Jackson
1792,138431,Entresser
1792,140264,
1792,152752,Sherlock Holmes
1792,153109,Freund von Peter
1792,162476,
1792,170694,Tonio Rossi
1792,175322,Don Curliss
1792,179781,Voice of Mr. Fuller
1792,180972,Herr Klagenberg
1792,197116,"Von Buerkel, court secretary"
1792,202428,Bailiff
1792,203912,Gilbert Fresnay
1792,226333,"Klatte, chief of Broadway bar"
1792,229171,Kracht
1792,248540,
1792,253916,Herr Darling
1792,261145,Steven Chandos
1792,266088,
1792,278320,Herr Napravnik
1792,281231,Maj. Smith
1792,290525,Wilhelm Strassmann
1792,290791,"Gondola, der Adjudant"
1792,323123,Engelhardt
1792,338377,Morkere
1792,345914,Roger Blakesley
1792,356886,Philip Benson
1792,384817,Boville
1792,389959,"Morrison, Elenas Bruder (1. S"
1792,404796,Oberinspektor Steiner
1793,330779,Eduard
1794,201162,Abou
1795,43999,Le dieu du tuning
1795,322331,Manuel
1796,203027,Beau Prinzi
1797,36712,Security Guard
1797,306221,Catering Waiter
1798,103917,Himself
1799,232987,Russian soldier
1800,326854,
1801,363189,Boy
1802,128008,
1803,346516,Franck
1804,129593,
1805,328891,
1806,263741,Baboon player 5
1807,163048,Spiritualist Medium
1807,380426,Spiritualist Medium
1807,398278,Spiritualist Medium
1807,402387,Spiritualist Medium
1808,189462,Sexy Boy
1809,276,Manservant
1809,20262,Bill Strong (The Arizona Kid)
1809,24483,Buck Parvin
1809,25407,
1809,31130,Dave Karns
1809,31204,Sioux Brave
1809,48567,
1809,48580,Buck Parvin
1809,48622,Hairtrigger Jordan
1809,49357,Jim Steel
1809,52457,Steve Caldwell
1809,52474,Bob Shelton
1809,57043,"Bart, Dallia Ranch Cowboy"
1809,60773,A Hussar
1809,64532,Jack Manning
1809,65079,Deputy
1809,65549,Kephren
1809,66310,Frontiersman
1809,67805,
1809,72309,"Jim Lawson, Cowboy"
1809,72347,Jack O'Lane
1809,75476,Curlew Corliss
1809,75642,Trooper
1809,80465,"Steve McCully, RCMP"
1809,106234,Buck Parvin
1809,107422,Bud Austin
1809,112376,Dick Weatherby
1809,112378,Bob Weston
1809,112482,Bullets Bernard
1809,112537,Mart Long
1809,112986,Buck Parvin
1809,115118,
1809,120727,The Chief's Son
1809,126059,Indian Messenger
1809,129800,Go-Get-'Em Yates
1809,136553,"Jack Martin, RCMP"
1809,139075,Art Alvord
1809,141010,
1809,141159,Undetermined Role
1809,146013,
1809,158157,Art Taylor
1809,161719,Telegrapher
1809,176293,Jud
1809,186552,Lance Lighton
1809,189959,Big Bear
1809,193312,Bud Harris
1809,194352,Buck Dawn
1809,203089,Art Louden
1809,203730,"Hal, a Trapper"
1809,203789,Buchanan 'Buck' Parvin
1809,205481,Ben Marlin
1809,207701,Art Somers
1809,216915,Percival Cadwallader 'Pin' Pe
1809,218727,"Buck Ravelle, a Ranger"
1809,229132,Cowpuncher
1809,239396,
1809,240920,"Arrow Head, as a Young Brave"
1809,243337,Jean Brulet
1809,245289,Indian Brave
1809,247213,Bruce Taylor
1809,263340,Undetermined Role
1809,270357,
1809,272086,Cowhand
1809,272127,Buck Thomas
1809,276914,Frank Melville
1809,278044,Larrabie Keller
1809,278057,"Larry Cassidy, RCMP"
1809,283869,Lee Crush
1809,287306,Sandy
1809,291177,Bill Bradley
1809,295074,Side Show' Saunders
1809,295084,Deputy Art Stratton
1809,300074,Snappy Walton
1809,301638,Jim Sullivan
1809,304289,Jack McCabe
1809,306260,Buck Parvin
1809,307387,A Trooper
1809,312121,Jack Marley
1809,312321,Townsman
1809,328616,Art Downs
1809,329067,
1809,330805,Buck Parvin
1809,331414,Art Flanders
1809,337321,"Barney McFee, RCMP"
1809,337718,Art Dobson
1809,343273,Two-Gun O'Brien
1809,345966,Bill Hardy
1809,347416,Larry O'Donne RCMP
1809,359303,A Frontiersman
1809,359996,Buck Parvin
1809,361775,Arizona' Allen
1809,361781,Art Seaton aka Art Hayes
1809,363095,"Dick Asher, Day Ranch Foreman"
1809,363866,Wayne Allen/The White Horsema
1809,363923,
1809,363952,Johnny Douglas aka The White 
1809,365267,Billy Woodruff
1809,365489,Larry Norton
1809,366256,Arthur Standish/The Mysteriou
1809,366792,Blinky
1809,369366,
1810,6864,Crowd
1811,137223,Claude's Father
1812,6219,Himself
1812,194922,Himself
1813,46506,Street Hustler
1813,93766,Worker
1813,118186,Quentin
1813,211981,Bellhop
1813,241684,Steve
1813,307949,Devon
1814,83982,Maori Warrior
1815,103425,
1816,51902,
1816,301859,
1817,226516,swimming school child
1818,28970,
1819,252862,Pablo
1820,92333,
1820,403753,Roberto de la Rosa
1821,103179,Himself
1822,2988,Hombre en prision
1822,5753,
1822,6439,
1822,8549,
1822,10002,
1822,10223,
1822,10567,
1822,13014,
1822,13518,
1822,14749,
1822,21072,
1822,22740,
1822,24989,Gerente de gruta
1822,25218,
1822,30806,Pascual
1822,43664,
1822,46203,
1822,51550,
1822,51745,
1822,51813,
1822,51908,
1822,54718,
1822,55012,
1822,55607,
1822,57432,
1822,57434,
1822,57869,
1822,57906,
1822,61208,
1822,62395,
1822,68639,
1822,69698,
1822,70670,
1822,73086,Comandante de policia
1822,74768,
1822,75199,
1822,80124,
1822,80325,
1822,80847,Mole
1822,83864,
1822,87071,
1822,89737,
1822,91306,
1822,91419,
1822,92597,
1822,96272,
1822,99354,
1822,100277,
1822,101615,Man at Gordo's
1822,101875,
1822,103509,
1822,103846,
1822,103940,
1822,106241,
1822,108069,Policía
1822,108736,
1822,108994,
1822,114758,Manuel
1822,115747,
1822,121960,
1822,124654,
1822,129482,Carnicero
1822,135113,
1822,143763,Policia
1822,143781,
1822,145182,
1822,145185,
1822,145195,
1822,148066,
1822,151803,
1822,161770,Police official
1822,169561,
1822,171471,
1822,171614,
1822,171619,
1822,183515,
1822,187932,
1822,187933,
1822,193070,
1822,193143,
1822,193189,
1822,197624,
1822,198235,Mesero
1822,198239,
1822,199963,
1822,202211,
1822,206674,
1822,206747,
1822,209029,
1822,210581,
1822,212057,
1822,215229,Amigo de Fernando
1822,217025,
1822,218436,
1822,220520,
1822,221711,
1822,222016,Raul
1822,223611,
1822,226499,
1822,233624,
1822,233949,
1822,234329,
1822,235307,
1822,236433,
1822,242647,Biuisnessman
1822,244617,
1822,246396,Notario
1822,247425,
1822,255905,
1822,265114,Policia
1822,266828,
1822,267406,
1822,268497,
1822,270013,Cartero
1822,270288,
1822,273124,
1822,274656,
1822,277410,
1822,280429,
1822,281181,
1822,281760,
1822,284333,
1822,287033,
1822,287859,Victim
1822,287861,
1822,287866,Waiter
1822,296453,
1822,301422,
1822,309370,Pasajero en camion
1822,322852,
1822,324764,
1822,333700,
1822,339086,Pascual Mendez
1822,339171,"(segment Lucía"")"""
1822,343448,
1822,343731,
1822,350265,Baggage clerk
1822,351998,"Don Choforo, Carnicero"
1822,353267,
1822,353562,
1822,355777,
1822,357503,
1822,370066,
1822,371343,
1822,371675,
1822,376653,
1822,376690,
1822,376757,
1822,377099,Trabajador factoria
1822,377189,
1822,387551,
1823,8564,Actor tocón
1823,90209,Dentist
1823,273836,Chamberlain
1823,294732,Vecino de abajo
1824,87729,Veloso's man
1825,55897,Osmar Barbosa
1825,201216,
1826,108535,
1827,121732,ÉL
1828,20253,Mariachi Band Member
1829,212624,Security
1830,381072,Kendall
1831,67186,Francisco Saez
1877,162918,El Silencio (The Silence)
1877,188265,Max
1877,190113,Lt. Fernando
1877,192432,Chato
1877,193027,Agustin
1877,202514,
1877,205020,
1877,232168,
1877,241819,Francisco Morales
1877,241883,Mexican rurale captain
1877,247424,Martin Corona
1877,251552,
1877,261421,Johnny Caddo
1877,264401,
1877,266104,"Chico, Barrett's Hired Gun"
1877,266893,
1877,276800,Lopez
1877,277337,Patron
1877,278571,Bloodshirt (Apache chief)
1877,281965,Salustio Hernandez
1877,283385,Manuel
1877,284333,
1877,286421,Paco
1877,286893,Chino Figueroa
1877,286920,Principe Chokozabe
1877,288955,Bandy Legs
1877,292248,Rodriguez
1877,294285,el Rizos
1877,308926,Bondie Adams
1877,316231,Mercurio
1877,332979,Manuel Acosta Mesa
1877,340327,"Nanchez, Apache Chief"
1877,349999,Manuel Sanchez
1877,357532,Martín Corona
1877,357899,Rodolfo
1877,358575,Sheriff Marguelez
1877,366193,Arturo Torres
1877,370546,Poulini
1877,371755,
1877,372492,Mexican officer
1877,378474,Three Fingers' Jack
1877,391529,Vaquero (1967-69)
1878,36659,Ruben
1878,166643,Wedding Captain
1879,379547,Host
1879,396396,Weather Forecaster (1997-2000
